oid,oname,olon,olat,did,dname,dlon,dlat,flow
1,MUXIDI,116.3313326,39.90614419,2,GUCHENG,116.1844542,39.90615316,5475
1,MUXIDI,116.3313326,39.90614419,3,TIAN'ANMENDONG,116.3952964,39.90633242,2544
1,MUXIDI,116.3313326,39.90614419,5,YONG'ANLI,116.4443122,39.90717995,3503
1,MUXIDI,116.3313326,39.90614419,6,WANSHOU LU,116.2889118,39.9062128,3155
1,MUXIDI,116.3313326,39.90614419,7,BAJIAO YOULEYUAN,116.2067171,39.90616324,6216
1,MUXIDI,116.3313326,39.90614419,8,BABAOSHAN,116.229788,39.90620494,6734
1,MUXIDI,116.3313326,39.90614419,9,YUQUAN LU,116.246972,39.90623347,7052
1,MUXIDI,116.3313326,39.90614419,10,WANGFUJING,116.4053829,39.90671491,5204
1,MUXIDI,116.3313326,39.90614419,11,PINGGUOYUAN,116.1718633,39.92493926,7230
1,MUXIDI,116.3313326,39.90614419,13,WUKESONG,116.2682454,39.90627676,7094
1,MUXIDI,116.3313326,39.90614419,14,FUXINGMEN,116.3509955,39.90587914,2992
1,MUXIDI,116.3313326,39.90614419,15,JIANGUOMEN,116.4292136,39.90722615,2615
1,MUXIDI,116.3313326,39.90614419,16,XIDAN,116.3692188,39.90584314,9140
1,MUXIDI,116.3313326,39.90614419,17,DONGDAN,116.4127131,39.90691559,3211
1,MUXIDI,116.3313326,39.90614419,19,GUOMAO,116.4545695,39.90745797,6265
1,MUXIDI,116.3313326,39.90614419,21,DAWANG LU,116.4708955,39.9075473,5638
1,MUXIDI,116.3313326,39.90614419,22,SIHUIDONG,116.5096417,39.90742897,3021
1,MUXIDI,116.3313326,39.90614419,23,SIHUI,116.4895521,39.90752942,4345
1,MUXIDI,116.3313326,39.90614419,26,DONGSI SHITIAO,116.4279143,39.93253957,2111
1,MUXIDI,116.3313326,39.90614419,27,JISHUITAN,116.3664839,39.94733224,4314
1,MUXIDI,116.3313326,39.90614419,33,XIZHIMEN,116.3486802,39.93936227,2581
1,MUXIDI,116.3313326,39.90614419,35,CHONGWENMEN,116.4117659,39.89955765,2414
1,MUXIDI,116.3313326,39.90614419,36,CHAOYANGMEN,116.427473,39.92315025,2944
1,MUXIDI,116.3313326,39.90614419,39,DONGZHIMEN,116.4286341,39.94048014,5571
1,MUXIDI,116.3313326,39.90614419,70,BEIJING SOUTH RAILWAY STATION,116.3729399,39.86355061,6017
1,MUXIDI,116.3313326,39.90614419,75,TIANTONGYUAN NORTH,116.406713,40.08191323,2159
1,MUXIDI,116.3313326,39.90614419,177,LIULIQIAODONG,116.3092065,39.88604319,2067
1,MUXIDI,116.3313326,39.90614419,197,CAPITAL UNIVERSITY OF ECONOMICS & BUSINESS,116.3139406,39.84320189,2417
1,MUXIDI,116.3313326,39.90614419,280,TONGZHOU BEIYUAN,116.631396,39.9026496,2038
2,GUCHENG,116.1844542,39.90615316,1,MUXIDI,116.3313326,39.90614419,5543
2,GUCHENG,116.1844542,39.90615316,3,TIAN'ANMENDONG,116.3952964,39.90633242,2247
2,GUCHENG,116.1844542,39.90615316,5,YONG'ANLI,116.4443122,39.90717995,3571
2,GUCHENG,116.1844542,39.90615316,6,WANSHOU LU,116.2889118,39.9062128,7603
2,GUCHENG,116.1844542,39.90615316,7,BAJIAO YOULEYUAN,116.2067171,39.90616324,2458
2,GUCHENG,116.1844542,39.90615316,8,BABAOSHAN,116.229788,39.90620494,4473
2,GUCHENG,116.1844542,39.90615316,9,YUQUAN LU,116.246972,39.90623347,10537
2,GUCHENG,116.1844542,39.90615316,10,WANGFUJING,116.4053829,39.90671491,6341
2,GUCHENG,116.1844542,39.90615316,11,PINGGUOYUAN,116.1718633,39.92493926,4548
2,GUCHENG,116.1844542,39.90615316,12,NANLISHI LU,116.3464013,39.90589965,8546
2,GUCHENG,116.1844542,39.90615316,13,WUKESONG,116.2682454,39.90627676,15140
2,GUCHENG,116.1844542,39.90615316,14,FUXINGMEN,116.3509955,39.90587914,7932
2,GUCHENG,116.1844542,39.90615316,15,JIANGUOMEN,116.4292136,39.90722615,3323
2,GUCHENG,116.1844542,39.90615316,16,XIDAN,116.3692188,39.90584314,9055
2,GUCHENG,116.1844542,39.90615316,17,DONGDAN,116.4127131,39.90691559,3447
2,GUCHENG,116.1844542,39.90615316,18,MILITARY MUSEUM,116.3166219,39.90626108,6136
2,GUCHENG,116.1844542,39.90615316,19,GUOMAO,116.4545695,39.90745797,5688
2,GUCHENG,116.1844542,39.90615316,20,GONGZHUFEN,116.3041576,39.90643003,6785
2,GUCHENG,116.1844542,39.90615316,21,DAWANG LU,116.4708955,39.9075473,5902
2,GUCHENG,116.1844542,39.90615316,22,SIHUIDONG,116.5096417,39.90742897,2744
2,GUCHENG,116.1844542,39.90615316,23,SIHUI,116.4895521,39.90752942,4041
2,GUCHENG,116.1844542,39.90615316,26,DONGSI SHITIAO,116.4279143,39.93253957,2132
2,GUCHENG,116.1844542,39.90615316,27,JISHUITAN,116.3664839,39.94733224,4249
2,GUCHENG,116.1844542,39.90615316,28,FUCHENGMEN,116.3500586,39.922394,2987
2,GUCHENG,116.1844542,39.90615316,30,ZHANGCHUN JIE,116.3571623,39.89808465,2174
2,GUCHENG,116.1844542,39.90615316,31,BEIJING RAILWAY STATION,116.4209067,39.90368562,3809
2,GUCHENG,116.1844542,39.90615316,33,XIZHIMEN,116.3486802,39.93936227,3835
2,GUCHENG,116.1844542,39.90615316,35,CHONGWENMEN,116.4117659,39.89955765,2187
2,GUCHENG,116.1844542,39.90615316,36,CHAOYANGMEN,116.427473,39.92315025,2779
2,GUCHENG,116.1844542,39.90615316,39,DONGZHIMEN,116.4286341,39.94048014,4257
2,GUCHENG,116.1844542,39.90615316,67,NATIONAL LIBRARY,116.3191931,39.94181324,2089
2,GUCHENG,116.1844542,39.90615316,68,HAIDIANHUANGZHUANG,116.3116649,39.97470492,2306
2,GUCHENG,116.1844542,39.90615316,70,BEIJING SOUTH RAILWAY STATION,116.3729399,39.86355061,4750
2,GUCHENG,116.1844542,39.90615316,143,BEIJING WEST RAILWAY STATION,116.3151222,39.89357218,5199
2,GUCHENG,116.1844542,39.90615316,177,LIULIQIAODONG,116.3092065,39.88604319,2271
2,GUCHENG,116.1844542,39.90615316,179,FENGTAI KEJIYUAN,116.291168,39.82398434,2862
2,GUCHENG,116.1844542,39.90615316,187,CHANGCHUNQIAO,116.2879917,39.9573455,2275
2,GUCHENG,116.1844542,39.90615316,189,XITUCHENG,116.348068,39.97492379,2159
2,GUCHENG,116.1844542,39.90615316,200,SUZHOU JIE,116.3001828,39.97435776,3510
3,TIAN'ANMENDONG,116.3952964,39.90633242,1,MUXIDI,116.3313326,39.90614419,2348
3,TIAN'ANMENDONG,116.3952964,39.90633242,7,BAJIAO YOULEYUAN,116.2067171,39.90616324,2581
3,TIAN'ANMENDONG,116.3952964,39.90633242,8,BABAOSHAN,116.229788,39.90620494,2836
3,TIAN'ANMENDONG,116.3952964,39.90633242,9,YUQUAN LU,116.246972,39.90623347,3124
3,TIAN'ANMENDONG,116.3952964,39.90633242,10,WANGFUJING,116.4053829,39.90671491,8497
3,TIAN'ANMENDONG,116.3952964,39.90633242,11,PINGGUOYUAN,116.1718633,39.92493926,3837
3,TIAN'ANMENDONG,116.3952964,39.90633242,13,WUKESONG,116.2682454,39.90627676,3937
3,TIAN'ANMENDONG,116.3952964,39.90633242,16,XIDAN,116.3692188,39.90584314,7103
3,TIAN'ANMENDONG,116.3952964,39.90633242,18,MILITARY MUSEUM,116.3166219,39.90626108,2569
3,TIAN'ANMENDONG,116.3952964,39.90633242,19,GUOMAO,116.4545695,39.90745797,3855
3,TIAN'ANMENDONG,116.3952964,39.90633242,21,DAWANG LU,116.4708955,39.9075473,4084
3,TIAN'ANMENDONG,116.3952964,39.90633242,22,SIHUIDONG,116.5096417,39.90742897,2192
3,TIAN'ANMENDONG,116.3952964,39.90633242,23,SIHUI,116.4895521,39.90752942,3180
3,TIAN'ANMENDONG,116.3952964,39.90633242,31,BEIJING RAILWAY STATION,116.4209067,39.90368562,3702
3,TIAN'ANMENDONG,116.3952964,39.90633242,33,XIZHIMEN,116.3486802,39.93936227,2070
3,TIAN'ANMENDONG,116.3952964,39.90633242,35,CHONGWENMEN,116.4117659,39.89955765,2250
3,TIAN'ANMENDONG,116.3952964,39.90633242,39,DONGZHIMEN,116.4286341,39.94048014,4012
3,TIAN'ANMENDONG,116.3952964,39.90633242,70,BEIJING SOUTH RAILWAY STATION,116.3729399,39.86355061,3100
3,TIAN'ANMENDONG,116.3952964,39.90633242,75,TIANTONGYUAN NORTH,116.406713,40.08191323,2027
3,TIAN'ANMENDONG,116.3952964,39.90633242,143,BEIJING WEST RAILWAY STATION,116.3151222,39.89357218,3934
3,TIAN'ANMENDONG,116.3952964,39.90633242,280,TONGZHOU BEIYUAN,116.631396,39.9026496,2136
4,TIAN'ANMENXI,116.3854103,39.90606169,9,YUQUAN LU,116.246972,39.90623347,2421
4,TIAN'ANMENXI,116.3854103,39.90606169,10,WANGFUJING,116.4053829,39.90671491,3729
4,TIAN'ANMENXI,116.3854103,39.90606169,11,PINGGUOYUAN,116.1718633,39.92493926,2595
4,TIAN'ANMENXI,116.3854103,39.90606169,13,WUKESONG,116.2682454,39.90627676,2968
