"证券代码","证券简称","上市板","上市日期","企业规模","成立日期","注册资本[元]","主营产品类型","所属区县","城市","注册地址","办公地址","员工总数","证监会行业名称","总市值[元]","市值[亿元]","市盈率PE","Wind ESG评级","Wind ESG综合得分","坐标"
"600519.SH","贵州茅台","主板","2001-08-27T00:00:00+08:00","大型","1999-11-20T00:00:00+08:00","1256197800","白酒","仁怀市","仁怀市","贵州省仁怀市茅台镇","贵州省仁怀市茅台镇","29971","制造业","2411397296880","24113.9729688","43.2532577514648","BB","5.77","POINT(106.3718364 27.85515962)"
"601398.SH","工商银行","主板","2006-10-27T00:00:00+08:00","大型","1985-11-22T00:00:00+08:00","356406257089","存贷款业务、电子银行业务、机构业务、人民币理财、托管业务、银行卡、证券业务、中间业务","西城区","北京市","北京市西城区复兴门内大街55号","北京市西城区复兴门内大街55号","434089","金融业","1494410124371.32","14944.101243713201","4.42933702468872","BBB","6.59","POINT(116.35822188 39.90669526)"
"300750.SZ","宁德时代","创业板","2018-06-11T00:00:00+08:00","大型","2011-12-16T00:00:00+08:00","2440607297","专用设备与零部件","蕉城区","宁德市","福建省宁德市蕉城区漳湾镇新港路2号","福建省宁德市蕉城区漳湾镇新港路2号","83601","制造业","1257400879414.4","12574.008794144","81.2815017700195","A","7.32","POINT(119.56908179 26.72328608)"
"601939.SH","建设银行","主板","2007-09-25T00:00:00+08:00","大型","2004-09-17T00:00:00+08:00","250010977486","存贷款业务、电子银行业务、国际业务、机构业务、结算业务、人民币理财、托管业务、银行卡、证券业务、中间业务","西城区","北京市","北京市西城区金融大街25号","北京市西城区金融大街25号","351252","金融业","1095250067898.41","10952.5006789841","4.55171728134155","BBB","6.74","POINT(116.35215217 39.91164296)"
"601288.SH","农业银行","主板","2010-07-15T00:00:00+08:00","大型","1986-12-18T00:00:00+08:00","349983033873","存贷款业务、电子银行业务、机构业务、结算业务、人民币理财、托管业务、银行卡、证券业务、中间业务","东城区","北京市","北京市东城区建国门内大街69号","北京市东城区建国门内大街69号","455174","金融业","975617337775.48","9756.1733777548","4.03927230834961","BBB","6.3","POINT(116.41327034 39.90770554)"
"600941.SH","中国移动","主板","2022-01-05T00:00:00+08:00","","1997-09-03T00:00:00+08:00","21362826764","互联网服务、寻呼通信服务","西城区","北京市","中国香港中环皇后大道中99号中环中心60楼","中国北京市西城区金融大街29号","449934","信息传输、软件和信息技术服务业","929284575445.967","9292.845754459671","10.7936773300171","AA","7.98","POINT(114.15396801 22.28435725)"
"600036.SH","招商银行","主板","2002-04-09T00:00:00+08:00","大型","1987-03-31T00:00:00+08:00","25219845601","存贷款业务、国际业务、机构业务、结算业务、人民币理财、托管业务、外汇理财、银行卡、证券业务、中间业务","福田区","深圳市","广东省深圳市福田区深南大道7088号","广东省深圳市福田区深南大道7088号","103669","金融业","917780871572.411","9177.80871572411","7.3362603187561","AA","7.67","POINT(114.01717573 22.54001011)"
"601857.SH","中国石油","主板","2007-11-05T00:00:00+08:00","大型","1999-11-05T00:00:00+08:00","183020977818","成品油、氮肥、复合(混)肥、高分子聚合物、加油站、勘探采油设备及配件、溶剂油、润滑油、塑料包装制品、天然气勘探与生产、液化气、有机化工原料、原油勘探与生产、钻井设备及配件","东城区","北京市","北京市东城区安德路16号","北京市东城区东直门北大街9号","417173","采矿业","910795054020.68","9107.9505402068","9.21285057067871","AA","7.92","POINT(116.39200909 39.94961767)"
"002594.SZ","比亚迪","主板","2011-06-30T00:00:00+08:00","大型","1995-02-10T00:00:00+08:00","2911142855","半导体太阳能光伏、低压电器类、电子元器件、集成电路、汽车及零配件经销","龙岗区","深圳市","广东省深圳市龙岗区葵涌镇延安路一号","广东省深圳市坪山新区比亚迪路3009号","288186","制造业","863591631759","8635.91631759","262.275268554688","A","7.69","POINT(114.42863057 22.63552285)"
"601988.SH","中国银行","主板","2006-07-05T00:00:00+08:00","大型","1983-10-31T00:00:00+08:00","294387791241","存贷款业务、电子银行业务、国际业务、机构业务、人民币理财、外汇理财、银行卡、证券业务、中间业务","西城区","北京市","北京市复兴门内大街1号","北京市复兴门内大街1号","306322","金融业","853306895317.627","8533.06895317627","4.12878608703613","A","7.24","POINT(116.36670699 39.90672885)"
